Job_position,Company,Location,requirements,rating,experience,posting_frequency,avg_yearly_sal,net_experience,education_level,bachelor,masters,na,secondary,job_title,jr,na.1,senior,popular_profession,data scientist,deep learning,machine learning,na.2,software developer,software engineer,State, Andhra Pradesh, Bengaluru, Bihar, Chandigarh, Chennai, Chhattisgarh, Delhi, Goa, Gujarat, Haryana, Hyderabad, Jharkhand, Karnataka, Kerala, Madhya Pradesh, Maharashtra, Mumbai, Navi Mumbai, Orissa, Puducherry, Pune, Punjab, Rajasthan, Tamil Nadu, Telangana, Uttar Pradesh, Uttarakhand, West Bengal,Andhra Pradesh,Delhi,Goa,Gujarat,India,Jharkhand,Karnataka,Kerala,Maharashtra,Meghalaya,Punjab,Remote,Tamil Nadu,job_openings,job_descr_len,python,stack,java,c,c++,cloud,asp,net,mvc,mobile,testing,sql,css,server,database,html,ui,system,php,flutter,angular,systems,ios,app,javascript,rest,api,js,react,structures,cleaning,algorithms,architecture,open,information,jquery,bootstrap,mysql,apis
ai,Siemens Technology and Services Private Limited,"Gurgaon, Haryana",analyst,4.0,na,1.0,582000.0,-99,na,0,0,1,0,na,0,1,0,data scientist,1,0,0,0,0,0, Haryana,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
analyst,NetApp,"Bengaluru, Karnataka",,4.1,na,1.0,210000.0,-99,na,0,0,1,0,na,0,1,0,machine learning,0,0,1,0,0,0, Karnataka,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
na,Reverenc Technologies Pvt Ltd,"Pune, Maharashtra",,3.88,na,1.0,210000.0,1,na,0,0,1,0,na,0,1,0,machine learning,0,0,1,0,0,0, Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nlp python,Softobiz Technologies,"Mohali, Punjab",,3.4,na,1.0,439332.0,-99,na,0,0,1,0,na,0,1,0,machine learning,0,0,1,0,0,0, Punjab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
na,STC Technologies,"Ernakulam, Kerala",cleaning,4.1,Bachelor's,1.0,210000.0,0,bachelor,1,0,0,0,na,0,1,0,na,0,0,0,1,0,0, Kerala,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
na,Barclays,"Pune, Maharashtra",,3.9,na,1.0,1250000.0,-99,na,0,0,1,0,na,0,1,0,na,0,0,0,1,0,0, Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,154,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
na,Iris Software,India,app,2.7,na,1.0,560106.0,-99,na,0,0,1,0,na,0,1,0,na,0,0,0,1,0,0,India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
na,ABB,"Bengaluru, Karnataka",,4.0,na,1.0,582000.0,-99,na,0,0,1,0,na,0,1,0,na,0,0,0,1,0,0, Karnataka,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
na,KCM Software Pvt Ltd,"Hadapsar, Pune, Maharashtra",operating systems,3.88,na,1.0,246000.0,1,na,0,0,1,0,na,0,1,0,na,0,0,0,1,0,0, Pune,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
na,LINC Education Services Pte. Ltd. (Singapore),"Pune, Maharashtra",,3.88,na,1.0,480000.0,-99,na,0,0,1,0,na,0,1,0,na,0,0,0,1,0,0, Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
