Job_position,Company,Location,requirements,posting_frequency,min_sal,max_sal,avg_yearly_sal,monthly_sal,job_title,jr,na,senior,State,job_openings,job_descr_len,redux,net,js,server,css,sql,angular,java,stack,testing,javascript,python,c++,ai,rest,app,react,nodejs,php,ui,database,mvc,ux,unity,html,mobile,mysql,flutter,graphic,apis,cloud,debugging,food,architecture,b2b,healthcare,security,pwas,version,typescript,ios,game,mongo,oops,restful,financial,jquery,iot,bootstrap,freelance,word,aws,git,ruby
sql server,Silicate Technologies Pvt Ltd,"Delhi, Delhi",na,1.0,373128.0,1263420.0,818274.0,68189.5,na,0,1,0,Delhi,1,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
na,Joltme Electrovision,"Delhi, Delhi",angular nodejs react,1.0,240000.0,480000.0,360000.0,30000.0,na,0,1,0,Delhi,1,157,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
net,Logix Infotech LLP,"Noida, Uttar Pradesh",net,1.0,180000.0,600000.0,390000.0,32500.0,na,0,1,0,Uttar Pradesh,1,155,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
na,RR Technologies,"Hyderabad, Telangana",architecture mobile,1.0,180000.0,420000.0,300000.0,25000.0,jr,1,0,0,Telangana,1,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
na,SISA,"Bengaluru, Karnataka",na,1.0,0.0,0.0,0.0,0.0,jr,1,0,0,Karnataka,1,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
html css,Mobine,Remote,na,1.0,180000.0,216000.0,198000.0,16500.0,na,0,1,0,Remote,1,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ui,DEFTeam Solutions Pvt Ltd,"Hyderabad, Telangana",na,1.0,1000000.0,2000000.0,1500000.0,125000.0,na,0,1,0,Telangana,1,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
na,Invedus,"Noida, Uttar Pradesh",na,1.0,480000.0,600000.0,540000.0,45000.0,senior,0,0,1,Uttar Pradesh,1,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
na,HRMantra Software,"Pashan, Pune, Maharashtra",c sql angular,1.0,0.0,0.0,0.0,0.0,na,0,1,0,Pune,1,156,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
na,Yokogawa,"Bengaluru, Karnataka",na,1.0,690000.0,990000.0,840000.0,70000.0,na,0,1,0,Karnataka,1,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
